,Title,Post Text,Category
14,Avoid giving font and color options via file upload?,"With the NEW customizer that rolled out last week, if you specify a text box, the system makes you choose a font and color with it that is then displayed to the customer. I do offer text, but currently do not offer choices of font or color, and it really mucks up the page. Does anyone know if importing the customizations via upload file, does that system also force you to display font and color options to the customer? I know the WYSIWYG editor and file upload many times has different unique things available to each. I have never done customizations via upload file, but it would be worth the learning curve if I could avoid showing font and color multiple times over for something that doesn’t even offer font and color options.",Amazon Custom
15,USPS isnt showing up,is aniyone else having issues processing their FBM orders/ USPS isnt even showing up . only fedex,Amazon Custom
16,Efficient way to add Color for the custom text?,Hi i was wondering if anyone knows a efficient way to add on the custom text colors before i begin to brute force my way through 40 colors on 20 child listings,Amazon Custom
17,How to Close Personalized Item Return Request,"Our company sells cremation urns here on Amazon, many of which are personalized. One of our customers ordered a personalized urn and has opened a return request because she purchased the incorrect size. The reason for the return is listed as “No Longer Needed”. I know it’s within Amazon’s Policies not to refund her for the item because there was no late delivery, defects, etc. but when I try to close the request, the none of the reasons listed for why the request is being closed have to do with personalized products. Any advice on which option would be most relevant?",Amazon Custom
18,Fonts for Embriodery,where can I purchase embroidering fonts in a WOFF format on a installable ttf format. to add a font Amazon wants us to upload fonts in a WOFF or installable ttf format but I am not able to find machine Embriodery font in this format. Please help,Amazon Custom
19,Customers dont replied to my emails,I make custom dog tags and customers need to send me their’s dog info so I can make it but I already have like 9 order and someone the shipment is already late but I have no way to make it and I’ve send multiple emails to the buyers. I don’t know what to do.,Amazon Custom
20,WFMOA shopper,trying to create a seller central account as a Whole Foods team member for performance reports. Have been redirected to a seller account. How can I get to the correct sight?,Amazon Custom
21,Performance Notification for not issuing refund,"We sell custom items and use seller fulfilled prime on many of them. Since returns are auto-authorized with SFP, customers many times return items because they don’t want them any more and/or because they made a mistake when entering the custom information. In the past, we would not initiate the refund so we could open a SAFE-T claim and get reimbursed. Based everything i have read with SFP and the Amazon Custom Program, these actions are not violating any policies. This has worked well in the past, but on Tuesday we received a performance notification for not initiating a return within 2 business days. It was signed ‘Account Specialist’ from the ‘Marketplace Returns Experience Program’. We immediately sent an email to the seller performance team explaining, and they gave their normal generic reply which tells us nothing. Is this something we should be concerned about? We do not want to risk our account over a few returns each week.",Amazon Custom
22,Amazon Withdrawls Never Recieved in Bank,"So I have a problem with my US amazon account. I attached my GBP payoneer bank with that. Successful withdrawals were made from Amazon’s end but never received in my payoneer. I did contact payoneer at first and they, after some days, replied that funds were not transferred to them. Amazon provided the transaction IDs and claimed that withdrawals have been successful and the transactions were not reverted back. Now payoneer is asking for the MT 103 (Proof of payment) I have got a few questions. Is anyone facing the problem with Amazon funds transfered to payoneer? Is this some specific problem from payoneer’s side. How can i track the withdrawals?",Amazon Custom
23,How to cancel a shipment from Seller Central?,How to cancel a shipment from Seller Central?,Amazon Custom
24,Selling custom product with free product,"I have read that with custom products you cannot include a free product or giveaway if it does not benefit the original product in some way. (Something along those lines) My question is: if I have an apron that is customized with a particular image, can I include a “free” coaster with the exact same image on it? Is this allowed? I want to follow the proper protocol and I am not sure if I can do this. Thanks to anyhow who can answer this for me! Have a great day everyone.",Amazon Custom
25,How do I provide a gallery of images to customize?,I’d like to create a product with a 20 or so images that the customer can choose from. I know there’s a way to create a gallery of images for the customer to look at when customizing. Where do I find instructions for how to do this? Both creating the gallery and enabling it for the product? Many thanks,Amazon Custom
26,Buyers feedback removal,"Just trying to learn if there is a group/amazon authorized members that can help monitor and improve account standings? Is there a way to remove buyer’s malicious and untrue feedback? Example, buyers’ comment “did not want return product/pay for return shipping”, “do not like return policy”, “do not want to pay restocking fee”… We have been monitoring some competitors and not to name specific one her but their negative feedback for the past few years are always removed within 4-6 hours of receiving negative feedback. How do they do it? Are their special legal services can be hired to help with removal process? Thank you",Amazon Custom
27,Futura font is now previewing as Times New Roman,"For years we’ve had Futura font as an option for customization. Now in the previews its showing up as Times New Roman. I uploaded a new futura.ttf file but still the same thing. On the back end it shows as Futura, but when I act like a customer on the front end its Times New Roman. Anyone else having this issue?",Amazon Custom
28,Custom items A-Z,"Appears that Amazon does not follow their own policy. Custom per order item sold, customer wanted to return and then filed an A-Z claim and it went through. Even the appeal was denied. How is this possible. We did have a similar situation a month ago, A-Z was granted, we appealed it and won with no metric hit.",Amazon Custom
29,Custom Report,Is it possible to create a custom report with the “SKU” + “Units Sold Last 30 Days” + “afn-total-quantity”?,Amazon Custom
30,Uploading Videos,I’m having trouble with Amazon saying my ASIN’s are invalid when I try to upload my video. Anyone else having this issue? I downloaded an active SKU report from Amazon and pulled my ASIN’s from that report so I know they are correct I’m just wondering if there is some trick I’m missing and thats why they’re showing as invalid.,Amazon Custom
31,Shipping Issue. USPO could not deliver to address provided by customer,"Purchased Priority Mail shipping thru Amazon. USPO could not deliver after two attempts. customer confirmed that the address provided is correct. What are my options. Seems like mistake to resend to an address that failed delivery twice. Seems to make most sense refunding customer and pursuing claim with USPO although that will take an enormous amount of time and probably not result in a satisfactory outcome. Also, does Amazon bear any responsibility or have a policy for items that undeliverable?",Amazon Custom
32,"Issue with uploaded file, how can I get in touch with buyer","I make custom products and there is an issue with the image the customer uploaded. Now they placed a large order around $800, i have sent message that they have not responed to, and called a few times at different time of the day, but keep getting a message that the voice mail box is full. How can get in touch with the customer, I don’t want to cancel the order and I don’t want to make it with issue. Any help would be great PSB",Amazon Custom
33,Upload Design File,"We offer custom sizes, colors, custom text lines. We also offer the option for our clients to upload a design they would like to have embroidered on their product. Is there a way for me to add a section to the product that allows the client to upload and image of the design they would like added to the product?",Amazon Custom
34,I dont find my listing,"I asked for approval of a product recently FBA, it was suggested to make a listing. I proceeded to start, with the main details. It was send to my email the notification with the Asin # and SKU, ready to sell on Amazon. After this, I proceeded to visit the supplier and placed the order . Now I come back to Amazon, to finish some details that were missing and obtain the FNSKU, making the last payment to the supplier, but I don’t find my listing. Is published, but I dont find it to be able to complete it and proceed with the final step. I have no idea…",Amazon Custom
35,Problems with new Custom format,"The preview image is not displaying. The large preview image is not displaying. The preview image in the zip file is not formatting the text size and spacing the same as viewed by the customer when customizing their product. In my case, the text is too large and not resized the same as in the customization screen that the customer sees. Is anyone else noticing this?",Amazon Custom
36,How do I create a text input box without showing the font preview in the customization options?,"Hi there, my listing options currently look like this (when you enter in the text it shows a really bad preview because the text customize tool doesn’t work well with the photography I have: I would like for it to not show the preview and just have them fill in a text input box with the 3 character limit. I have seen other people do this on their listings. Below is an example of how I would like it to look that i found from another seller the text I put in is not part of the preview:",Amazon Custom
37,Need Help-Why my new Amazon account could not use manage campaign function?,"I have an issue, that my new Amazon account could not use Advertising function, do you have similar experience? Could someone help me with this issue? Blessings!",Amazon Custom
38,Poor quality customization images,"We sell a product with the option for the customer to provide their own image to print on it. We prefer a vector version of the artwork but amazon only sends png files The png files are embarrassingly low quality, unusable in many cases. Does amazon downsize what the customer sends?",Amazon Custom
39,Customize Now Order Form Design,"Please take a look at my page 29. Click ‘Customize Now’. The order form appears. Also take a gander at the design of a competitor 22 my boss wants to use. Notice the difference? I find it impossible to replicate the design found in the second example given above. How are we able to create a 3-across radial button layout? I am only able to make 1 button which clicks to another level. My boss is very specific in his desire for this design. Any help is appreciated! Best, Matt",Amazon Custom
40,Order of Customization Details,"How do I change the order of customization details that appear on the customer’s customization page? For example, I’d like the custom text to be first, followed by other options (like font, color, and options). Current the custom text feature is last, I’d like it to be at the top.",Amazon Custom
41,How do i obtain a Children Product Certificate,how do i obtain a Children Product Certificate,Amazon Custom
42,"Amazon, please give a return rejection reason “Customized items not eligible for returns”","We engrave metal plates, and we receive return requests so often when the customer mistypes. Does anyone else have a fix for this, or are we just stuck with the pull down menu that does not apply in our Custom world?",Amazon Custom
43,Custom Fields Ignoring Consecutive Spaces,"The customization details pages are incorrectly ignoring consecutive spaces. Someone needs to remind the programmers that in HTML consecutive spaces get ignored. They need to add the proper formatting to these pages so that the order details display correctly. Here are examples of the problem from both the Manage Orders page and Customization Information page for a specific order. Manager Orders Page:  Customization Information Page:  Please fix this, as it can lead to an incorrect customization on a customized order. Thanks!",Amazon Custom
44,Custom Color Option,"When a buyer selects a font color, I’d also like to show a swatch of the actual color / material as well. Is there a way to do this? The reason I’m asking is that some of my color options have metallic, holographic, and reflective properties that don’t show as I’d like with a solid font color.",Amazon Custom
45,How to Email Seller Support,How can I email seller account support?,Amazon Custom
46,Custom Products Return,"We’re selling a custom product on amaozn. Buyers leave their personalized information to us and then we make it on the products. Some of the buyers leave wrong information and that cause a return. All these products can not be sold again,even they return them back in original package. A return accepted means to lose the product and our shipping fee cost. How can we make business like this? If return rejected means negtive feedback or one star product review, or even an A to Z. What should I do?",Amazon Custom
47,Creating a custom item - error,"I’m having a hard time finding out the information for this. I am selling personalized Christmas ornaments. I have a professional seller account. Am registered with Amazon Custom. When i attempt to enable custom on an existing product that is within Amazon’s catalog, I get the following error message “Multiple offers are present on this product.” The only information I can find is this blurb in the FAQ: "" Why can’t I apply customization to an ASIN? You cannot enable a product that has more than one seller currently offering it. If there are multiple sellers offering a product and you would like to enable it for customization, you must create a new product listing representing the unique customization features that you offer on the product."" Other than that, there is no information as to my next steps here. Do i need to create a whole new product? Do i need to attach that new product to the existing product that I am attempting to enable customization on? What are the steps in order to get this enabled? I have several hundred of these ornaments that i’m trying to get up. Thanks in advance!",Amazon Custom
48,Shipping to Amazon FBA Wineries,"Si creamos la etiqueta a través de Amazon (FBA), el proveedor las pega en las cajas, y UPS retira el producto por la fábrica de ellos. ¿No pagaríamos nada? English Translation: If we create the label via Amazon (FBA), the supplier sticks it to the boxes, and UPS removes the product from the factory. Wouldn’t we pay anything?",Amazon Custom
49,Amazon EBC custom layouts,"Im a graphic design new on Amazon Enhanced brand content. Im looking for a more freedom when it comes to designing a layout but it seems there are restrictions. To be specific the Brand logo and the product description at the top are locked but when i search in google a sample of EBC designs, it seems that some of the designs have banner image placed at the top. look at the image below. How can i achieve that kind of design? Help please",Amazon Custom
50,Brand with a trademark require UPC’s,"Hi helpful people. If I obtain a trademarked brand will my products require a UPC to sell on Amazon Custom? I am selling photo blankets, throw pillows, duvet covers and similar items. Thanks in advance!",Amazon Custom
51,Buyers Entering in Inaccurate Personalization,"Getting to my wits end with dealing with buyers that inaccurately type in their own information and expect seller to take all responsibility for it. Most recent a-z claim, amazon is telling me I must accept return of a $90.00 order even though the buyer entered in the wrong date for her engraving order. Buyer even placed a new order with the same engraving except changed the date. Amazon custom policy clearly says I’m protected from a-z claims and 3rd party sellers do not have to accept returns on accurately created orders but amazon employees don’t seem to abide by the policy. A-z claim says “different from what I ordered”, however, it is exactly the same as buyer ordered, it’s just that buyer entered in the wrong date. Another problem is “voice of the customer” metric. It shows some popular custom products in “very poor” category for things like “defective item” and “wrong item was sent” but this metric is wholly inaccurate because buyers enter in information they did not intend to. Lastly, recently received 2 “used sold as new” complaints from buyers opening return requests stating the product is defective because there is no option for “I entered in incorrect personalization information”. Seems like it’s happening more and more. Does anyone know if amazon has plans to make the site more friendly to custom products sellers? Seems their cookie-cutter approach to sellers isn’t working out. They spent time and money creating “amazon custom” only to wreck sellers by not offering allowances in the automated metric policing system.",Amazon Custom
52,Custom order cancellation BEFORE shipping,"Hi! I have a customer of a CUSTOM order that request cancellation before shipment (3 days after order) but the item is almost ready to ship. Cannot be resold obviously as the customization include customer’s personal information (name etc) I found this FAQ on amazon: https://sellercentral.amazon.com/gp/help/help.html?itemID=201817830&ref=ag_201817830_relt_201817850&language=en_IT&languageSwitched=1 5 I understand that is legit to not accept a custom order cancellation after the time frame I set in Policies (set to 24h) but I do not understand if I am allowed to cancel anyway and detract a restocking fee BEFORE shipping. Due to technical issue I see I can partially refund only after shipment, so I’m in doubt that a partial refund in this case is allowed. I do not wish to force shipment if it’s no longer desired (and make customer surely angry) but I do not want to lost the material I have already used neither. Sorry for grammar (not motherlanguage) and thanks for your time, any advice is appreciated.",Amazon Custom
53,Problems with custom feature,These days i started to use customization feature. After then every product i uploaded antomatically changes to customerized product. What happened?,Amazon Custom
54,How to turn off auto authorized returns for custom products?,"Apparently I just now noticed sometime about a month ago my account changed to auto authorize returns on CUSTOM products, which you know we are not required to accept/authorize. How do I turn this off?",Amazon Custom
55,"Amazon custom , customization detail page chaged?",What is going on with Amazon that loves to make changes right before the holidays? Now there is a customization information pages shows up with zip file to download? This ruins are automation software and no body told us before with this new update,Amazon Custom
56,Return Policy,I have been an Amazon Custom seller for many years. Just in the past few days I started getting auto authorized returns. Now up to 5 of those - personalized non-returnables - buyer error. Anyone having in issue with this? I’m currently battling to get my account fixed (I guess it’s account based). They said all professional sellers must have auto authorization when their OWN policy says Amazon Custom is exempt. So I’m hoping they fix it soon.,Amazon Custom
57,Modifying a product for Customization and Variations - which should I do first?,"Somewhat new to custom and variations, any idea what order I should add these changes to using the online screens, not feeds? TIA Diane",Amazon Custom
58,Sizing drop down menu for hats,"Hi all Amazon. Status: Individual Seller. Products: fur felt hats/caps, shipping out of EU/DK. Problem: no/slow response from Amazon. Created a case: asking for drop down menu on April 6. 2019, still no answer +4 weeks later. (Case #5956947851). Question(s): 1. How long response time can be expected? (+4 weeks??) 2. Can I as Individual Seller get a Standard hat size drop down menu? 3. I have already a nice, detailed tabel with sizes, is this only possible for Brand Specific Sizes, meaning if I got an approved Trademark? If you have experience in this or can answer just one of above questions, I would be so happy if you could bring a little hope into this loong awaiting matter… Best regards from Ulrik/Wearcaps.",Amazon Custom
59,Amazon Error Allowing Custom Returns,"I’ve received a few return requests later for custom orders (the usual, customers making typos when they enter data) and Amazon has been auto-authorizing them. They told me there was a technical error, and to be patient, but I’ve been hit with a few return labels and it is getting annoying to keep having it happen during an unusually high period of returns (I usually get 1 every few months). Has anyone else encountered this issue too with these custom order returns being auto-authorized? If so, has anyone been told any additional info from Amazon?",Amazon Custom
60,How to remove all templates,I create new catalog pages very often as I sell vintage magazines and sheet music. I do not understand templates and would like to know how to remove them without messing up my listings.,Amazon Custom
61,Image Upload,"Does anyone know if Amazon has made or is making changes to the Image Upload option in Amazon Custom? We are authorized to sell under Custom and I was looking at adding image upload to some of the products but it does not appear in the Customization Options like before. I then went on Amazon to check a few products, not ours, that customer is able to upload and image for the product the the ‘Upload Image’ button doe nothing when you click on it in Customize Now.",Amazon Custom
62,"Do you suspect that a seller of the same product as you is maliciously buying your product, leaved bad reviews and returning it?","Do you suspect that a seller of the same product as you is maliciously buying your product, leaved bad reviews and returning it?",Amazon Custom
63,New Cutoff Times,"Has anyone tried getting an exemption on the new 2:00 cutoff time for custom orders? Our pickup from FedEx is at 3:00 pm which does not allow very much time to personalize, pack and ship an order.",Amazon Custom
64,Account freeze,"When I registered my account, I filled in the wrong company social code, so Amazon passed my registration application after the file was sent, but the account has been frozen. This is Amazon’s email: ""Hello: Since the [Unified Social Credit Code] on the file does not match the number shown on the seller’s platform, we are unable to verify the business documents you provided. Please provide a scanned copy of the file or photo within the next 30 days or modify any relevant information in the “Verification” section of the seller’s platform (https://sellercentral.amazon.com/ 4). You will need to upload all the files you are asked to provide, even those we have verified. If we do not receive the required documents within the next 30 days, you may be prohibited from selling on Amazon.com, Amazon.ca, and Amazon.com.mx. If you have any other questions, please contact the seller support team: (https://sellercentral.amazon.com/cu/contact-us 4). "" And I have already submitted the company’s business license again. I have been frozen for a week. I am worried that my review will not be passed because the information I filled in when I applied for the account is wrong. What should I do? Helpless",Amazon Custom
65,Custom Feature Font URL,"I’m trying to use the Custom Feature template file, and it’s asking me to provide a URL link for fonts. Ex. ""{content removed} "" How do I go add a .ttf font to my website, get an installable URL link to the font to provide for this template file? Any help regarding this would be greatly appreciated. Moderator Edit (James_Amazon): Removed External URL",Amazon Custom
66,Customization has stopped on all of our products,The customization feature has stopped on all of our products as of 9/23. We are unable to sell anything as a result.,Amazon Custom
67,Customization Surface,How do I click and drag to draw the position on my product so it lines up to show customers what their picture will like on my product? I have tried everything to no avail.,Amazon Custom
68,Listings re-categorized as automotive,For some reason 7 of our listings have been re-categorized as automotive (which they are not) and since there is not the required pre-approval for being in the category they have been deactivated. How do I get them switch back to the previous category (safety tape)?,Amazon Custom
69,Enhanced Brand Content Error Message,Hello - I’m trying to upload EBC for my product and I keep getting the below message. I literally have only our brand name typed in for a keyword and I am getting rejected. Anyone find a fix? Remove the following keywords from your images before submitting These keywords violate our community guidelines. Review the EBC Help content for more information. (ASS,Amazon Custom
70,Return Policy,"Hello, I have spoke with Amazon but they were unable to give me information. I would like to know how does a buyer physically see my companies return policy (we do not use Amazons) before they make a purchase?",Amazon Custom
71,Seller Support for Amazon Custom Sellers,Does anyone know of a support email or phone number where we can get help from Amazon Custom? The questions we send to seller support go unanswered because many of our issues do not conform to Amazon’s cookie cutter answers. Thank you.,Amazon Custom
72,Fake chinese sellers in custom,"I just found a whole new batch of sellers selling the exact same thing in custom listed under different store names. Each and everyone of these sellers are selling the exact same thing, the exact same images, the exact same copy and the items in Custom are all setup exactly the same. This is not done by chance. This is not done by coincidence. This is done exactly the same. By the exact same person. The only difference is they have changed the name of the brand and changed the name of the store. And they aren’t very sophisticated or creative - check out these sellers all selling supposedly unique custom products. store: Billie Simon brand: Billieise store: Jennifer Watsonr. brand: Jeneifers store: Konggang business. brand: Tdyalm store: Yugang business store. Brand: Carpets I found 18 identical listings. They are going to keep doing this until it destroys the integrity of Amazon custom. I’ve seen this in November of 2016. Check your history. I was there in the fall of 2016 when I had fake sellers selling my own brand of custom t-shirts. Shirts that I created out of my own head and had copyrighted under my business. And it shut down that business that I had spent 10 years building - overnight. These sellers were selling my t-shirt designs for less, pushed their target shipping dates outside of their disbursement. They would generate a fake tracking number, tell the customer the order has been shipped, get a few fake reviews, then get their disbursement and ride that as long as they could. And when I contacted Amazon they told me to go through a long involved process to report copyright infringement that required me to actually buy one of these items, have it shipped to me, then send pictures of their product next to our product. Amazon was only helping them buy encouraging their sellers to purchase from them. They also said that we should contact the infringing seller to report them and give a cease and desist. I did that but due to Amazon’s policy of limiting contact between sellers, those messages were throttled to about 10 a day. I was getting about 30-40 stores a day listing my designs. I gave up after documenting over 300 violators selling my own designs. And they weren’t even getting creative. They had stores that were just peoples names or just random characters they hit on a keyboard. This looks all too familiar Amazon finally caught on about a month later but by then, the damage was done. My t-shirt business and many others went down. I now only sell maybe 1 of my custom t-shirt designs in a month. I managed to rebuild my business through Amazon custom because having the feed to upload the custom details created a 2nd level of sophistication that these scammers weren’t able to pull off. Now they’ve found another loophole. And it all looks exactly like 2016. This isn’t my first rodeo. I’ve been here. If this is happening to you in Amazon Custom - report it. Shout from the rooftops. Email seller-performance@amazon.com. If your sales are down check into this. It could be that someone is flooding your category with fake stores, maybe even selling your own brands. If anybody has had any luck curtailing this please share. I’ve received little help from Amazon Seller Support.",Amazon Custom
73,Any Way to Escalate A to Z Claim Before Being Forced to Authorzize Return?,"We sold a buyer a diamond engagement ring in the Handmade Section on Amazon. In addition to being handmade, it was custom-sized to the buyer’s ring size specification. Item was shipped to buyer and about 1 week after delivery, we get a Return Request put in through/via Amazon Customer Service (not from buyer initiated process) indicating that the ring was “too bulky”. In other words, buyer’s remorse (more likely, buyer’s girlfriend turned him down and now we’re supposed to eat a moderately expensive handmade ring). We respond indicating that since this was a custom-made-to-order item, it was non-returnable under Amazon’s Custom and Handmade policy. Buyer then opens an A to Z claim with the following rambling (non-sensical) input from Customer Service: Customer comments: The seller do not want to accept the return cause the costumer disputes that size its too big. The product description does not switch sizes and it does not show that its not a returnable item. We respond to A to Z citing the policy, linking the policy and indicating that just because the buyer no longer wants or likes the item, does not change Amazon policy. Returns for this item are at the seller’s discretion. A to Z Claims department says nope, sorry you can eat this $900+ ring. Provide the buyer with return info within 3 days. So, is there anyway to escalate this above the A to Z folks to get someone that will actually enforce (or has read and understood) Amazon’s published policy on Handmade goods BEFORE being forced to provide return info. Once that’s done, we’re screwed. Any suggestions would be appreciated.",Amazon Custom
74,Help with shipping information not found online,I have a 23 volume set which has sold on Amazon ID113-6483849-4707431…it only has $3.99 allotted by Amazon for shipping. Please help me…23 books and $3.99 will not nearly cover to ship this set. Thank you.,Amazon Custom
75,Amazon Visa Card,"Hello All, i just wanna ask if amazon visa card is only for U.S people or for people worldwide .because i want to order it and there isn’t a place to choose my country Thanks",Amazon Custom
76,Case log,Has Seller Support now deleted our ability to create a new case log,Amazon Custom
77,Amazon return/exchange for a private seller,"I am not very experienced with selling on amazon. I sold an item, over $1000, buyer liked it, but it has a slight problem, so he wants to exchange it. I’ve spoke to him on the phone, I think he’s a sincere buyer, he’s not playing an angle. So, if he sends it back, I am content to send him another one once I get it back, BUT, if he did decides to open a claim against me, am I going to lose the claim since he had sent the original one back and he has tracking to prove it? Out of caution, I am inclined to refund the guy when I receive the item back, then have him pay for it again, or buy another one to keep the paper trail in order— What do you think, people? thanks",Amazon Custom
78,Brand Dashboard help,"I have questions that the support prompts don’t answer. I would like to get some specific questions answered. How can I reach the HELP when my questions don’t fit the pat answers? get help, get support etc, just go round and round and I can’t seem to get to the page where I can create an email, or phone request.",Amazon Custom
79,Putting items on amazon,Is there a program to put items from shopifly to amazon all at once ? Please let me know! Need help!!,Amazon Custom
80,Changing selling plan is not allowed in one of your subscribed marketplaces,"I am trying to close my professional account and receive this message: “Changing selling plan is not allowed in one of your subscribed marketplaces.” Apparently, I opened an individual account and a professional account. I am not making any progress and would also like the monthly charge refunded. I also went to the tax documents and was notified that I didn’t qualify for any of the forms/status. Any help is appreciated. Thanks in advance.",Amazon Custom
81,Creating a custom product… Please help,"We have only sold FBA. And now we would like to set-up a listing (item) with custom txt placed on it. Do I set up the SFP shipping first and then create the listing with variations; parent & child and a custom variation. I am hoping someone can, please, give me a step by step. As I am somewhat lost trying to weed through all the information on the help pages and the how tos. We already have this item in our FBA inventory at Amazon. So would I have to make a complete different listing or can I with the UPC and have the new one set as SF. Thank you in advanced",Amazon Custom
82,Cant find my product,im not finding my products when i search for them. They have just arrived and are availlibe on Amazon. But when i search i cant find them ( shipment ID (FBA15GB31KM1) am i missing some key-words or have i done somthing wrong?,Amazon Custom
