Title,Category,Sub-category,Post Text,URL
Performance Notification for not issuing refund,Amazon Custom,Amazon Custom,"We sell custom items and use seller fulfilled prime on many of them. Since returns are auto-authorized with SFP, customers many times return items because they don’t want them any more and/or because they made a mistake when entering the custom information. In the past, we would not initiate the refund so we could open a SAFE-T claim and get reimbursed. Based everything i have read with SFP and the Amazon Custom Program, these actions are not violating any policies. This has worked well in the past, but on Tuesday we received a performance notification for not initiating a return within 2 business days. It was signed ‘Account Specialist’ from the ‘Marketplace Returns Experience Program’. We immediately sent an email to the seller performance team explaining, and they gave their normal generic reply which tells us nothing. Is this something we should be concerned about? We do not want to risk our account over a few returns each week.",https://sellercentral.amazon.com/forums/t/performance-notification-for-not-issuing-refund/527545
Amazon Withdrawls Never Recieved in Bank,Amazon Custom,Amazon Custom Forum,"So I have a problem with my US amazon account. I attached my GBP payoneer bank with that. Successful withdrawals were made from Amazon’s end but never received in my payoneer. I did contact payoneer at first and they, after some days, replied that funds were not transferred to them. Amazon provided the transaction IDs and claimed that withdrawals have been successful and the transactions were not reverted back. Now payoneer is asking for the MT 103 (Proof of payment) I have got a few questions. Is anyone facing the problem with Amazon funds transfered to payoneer? Is this some specific problem from payoneer’s side. How can i track the withdrawals?",https://sellercentral.amazon.com/forums/t/amazon-withdrawls-never-recieved-in-bank/598459
How to cancel a shipment from Seller Central?,Amazon Custom,Amazon Custom,How to cancel a shipment from Seller Central?,https://sellercentral.amazon.com/forums/t/how-to-cancel-a-shipment-from-seller-central/596801
Selling custom product with free product,Amazon Custom,Amazon Custom Forum,"I have read that with custom products you cannot include a free product or giveaway if it does not benefit the original product in some way. (Something along those lines) My question is: if I have an apron that is customized with a particular image, can I include a “free” coaster with the exact same image on it? Is this allowed? I want to follow the proper protocol and I am not sure if I can do this. Thanks to anyhow who can answer this for me! Have a great day everyone.",https://sellercentral.amazon.com/forums/t/selling-custom-product-with-free-product/590331
How do I provide a gallery of images to customize?,Amazon Custom,Amazon Custom,I’d like to create a product with a 20 or so images that the customer can choose from. I know there’s a way to create a gallery of images for the customer to look at when customizing. Where do I find instructions for how to do this? Both creating the gallery and enabling it for the product? Many thanks,https://sellercentral.amazon.com/forums/t/how-do-i-provide-a-gallery-of-images-to-customize/589858
Buyers feedback removal,Amazon Custom,Amazon Custom,"Just trying to learn if there is a group/amazon authorized members that can help monitor and improve account standings? Is there a way to remove buyer’s malicious and untrue feedback? Example, buyers’ comment “did not want return product/pay for return shipping”, “do not like return policy”, “do not want to pay restocking fee”… We have been monitoring some competitors and not to name specific one her but their negative feedback for the past few years are always removed within 4-6 hours of receiving negative feedback. How do they do it? Are their special legal services can be hired to help with removal process? Thank you",https://sellercentral.amazon.com/forums/t/buyers-feedback-removal/588103
Futura font is now previewing as Times New Roman,Amazon Custom,Amazon Custom Forum,"For years we’ve had Futura font as an option for customization. Now in the previews its showing up as Times New Roman. I uploaded a new futura.ttf file but still the same thing. On the back end it shows as Futura, but when I act like a customer on the front end its Times New Roman. Anyone else having this issue?",https://sellercentral.amazon.com/forums/t/futura-font-is-now-previewing-as-times-new-roman/573320
Custom items A-Z,Amazon Custom,Amazon Custom Forum,"Appears that Amazon does not follow their own policy. Custom per order item sold, customer wanted to return and then filed an A-Z claim and it went through. Even the appeal was denied. How is this possible. We did have a similar situation a month ago, A-Z was granted, we appealed it and won with no metric hit.",https://sellercentral.amazon.com/forums/t/custom-items-a-z/570044
Custom Report,Amazon Custom,Amazon Custom,Is it possible to create a custom report with the “SKU” + “Units Sold Last 30 Days” + “afn-total-quantity”?,https://sellercentral.amazon.com/forums/t/custom-report/572345
Uploading Videos,Amazon Custom,Amazon Custom Forum,I’m having trouble with Amazon saying my ASIN’s are invalid when I try to upload my video. Anyone else having this issue? I downloaded an active SKU report from Amazon and pulled my ASIN’s from that report so I know they are correct I’m just wondering if there is some trick I’m missing and thats why they’re showing as invalid.,https://sellercentral.amazon.com/forums/t/uploading-videos/571892
Shipping Issue. USPO could not deliver to address provided by customer,Amazon Custom,Amazon Custom Forum,"Purchased Priority Mail shipping thru Amazon. USPO could not deliver after two attempts. customer confirmed that the address provided is correct. What are my options. Seems like mistake to resend to an address that failed delivery twice. Seems to make most sense refunding customer and pursuing claim with USPO although that will take an enormous amount of time and probably not result in a satisfactory outcome. Also, does Amazon bear any responsibility or have a policy for items that undeliverable?",https://sellercentral.amazon.com/forums/t/shipping-issue-uspo-could-not-deliver-to-address-provided-by-customer/569207
"Issue with uploaded file, how can I get in touch with buyer",Amazon Custom,Amazon Custom,"I make custom products and there is an issue with the image the customer uploaded. Now they placed a large order around $800, i have sent message that they have not responed to, and called a few times at different time of the day, but keep getting a message that the voice mail box is full. How can get in touch with the customer, I don’t want to cancel the order and I don’t want to make it with issue. Any help would be great PSB",https://sellercentral.amazon.com/forums/t/issue-with-uploaded-file-how-can-i-get-in-touch-with-buyer/568925
Upload Design File,Amazon Custom,Amazon Custom Forum,"We offer custom sizes, colors, custom text lines. We also offer the option for our clients to upload a design they would like to have embroidered on their product. Is there a way for me to add a section to the product that allows the client to upload and image of the design they would like added to the product?",https://sellercentral.amazon.com/forums/t/upload-design-file/545893
I dont find my listing,Amazon Custom,Amazon Custom Forum,"I asked for approval of a product recently FBA, it was suggested to make a listing. I proceeded to start, with the main details. It was send to my email the notification with the Asin # and SKU, ready to sell on Amazon. After this, I proceeded to visit the supplier and placed the order . Now I come back to Amazon, to finish some details that were missing and obtain the FNSKU, making the last payment to the supplier, but I don’t find my listing. Is published, but I dont find it to be able to complete it and proceed with the final step. I have no idea…",https://sellercentral.amazon.com/forums/t/i-dont-find-my-listing/562703
Problems with new Custom format,Amazon Custom,Amazon Custom Forum,"The preview image is not displaying. The large preview image is not displaying. The preview image in the zip file is not formatting the text size and spacing the same as viewed by the customer when customizing their product. In my case, the text is too large and not resized the same as in the customization screen that the customer sees. Is anyone else noticing this?",https://sellercentral.amazon.com/forums/t/problems-with-new-custom-format/520220
How do I create a text input box without showing the font preview in the customization options?,Amazon Custom,Amazon Custom,"Hi there, my listing options currently look like this (when you enter in the text it shows a really bad preview because the text customize tool doesn’t work well with the photography I have: I would like for it to not show the preview and just have them fill in a text input box with the 3 character limit. I have seen other people do this on their listings. Below is an example of how I would like it to look that i found from another seller the text I put in is not part of the preview:",https://sellercentral.amazon.com/forums/t/how-do-i-create-a-text-input-box-without-showing-the-font-preview-in-the-customization-options/539231
Need Help-Why my new Amazon account could not use manage campaign function?,Amazon Custom,Amazon Custom Forum,"I have an issue, that my new Amazon account could not use Advertising function, do you have similar experience? Could someone help me with this issue? Blessings!",https://sellercentral.amazon.com/forums/t/need-help-why-my-new-amazon-account-could-not-use-manage-campaign-function/547283
Poor quality customization images,Amazon Custom,Amazon Custom,"We sell a product with the option for the customer to provide their own image to print on it. We prefer a vector version of the artwork but amazon only sends png files The png files are embarrassingly low quality, unusable in many cases. Does amazon downsize what the customer sends?",https://sellercentral.amazon.com/forums/t/poor-quality-customization-images/536209
Customize Now Order Form Design,Amazon Custom,Amazon Custom,"Please take a look at my page 29. Click ‘Customize Now’. The order form appears. Also take a gander at the design of a competitor 22 my boss wants to use. Notice the difference? I find it impossible to replicate the design found in the second example given above. How are we able to create a 3-across radial button layout? I am only able to make 1 button which clicks to another level. My boss is very specific in his desire for this design. Any help is appreciated! Best, Matt",https://sellercentral.amazon.com/forums/t/customize-now-order-form-design/543086
Order of Customization Details,Amazon Custom,Amazon Custom,"How do I change the order of customization details that appear on the customer’s customization page? For example, I’d like the custom text to be first, followed by other options (like font, color, and options). Current the custom text feature is last, I’d like it to be at the top.",https://sellercentral.amazon.com/forums/t/order-of-customization-details/541311
How do i obtain a Children Product Certificate,Amazon Custom,Amazon Custom Forum,how do i obtain a Children Product Certificate,https://sellercentral.amazon.com/forums/t/how-do-i-obtain-a-children-product-certificate/445260
"Amazon, please give a return rejection reason “Customized items not eligible for returns”",Amazon Custom,Amazon Custom,"We engrave metal plates, and we receive return requests so often when the customer mistypes. Does anyone else have a fix for this, or are we just stuck with the pull down menu that does not apply in our Custom world?",https://sellercentral.amazon.com/forums/t/amazon-please-give-a-return-rejection-reason-customized-items-not-eligible-for-returns/536288
Custom Fields Ignoring Consecutive Spaces,Amazon Custom,Amazon Custom,"The customization details pages are incorrectly ignoring consecutive spaces. Someone needs to remind the programmers that in HTML consecutive spaces get ignored. They need to add the proper formatting to these pages so that the order details display correctly. Here are examples of the problem from both the Manage Orders page and Customization Information page for a specific order. Manager Orders Page:  Customization Information Page:  Please fix this, as it can lead to an incorrect customization on a customized order. Thanks!",https://sellercentral.amazon.com/forums/t/custom-fields-ignoring-consecutive-spaces/537255
Custom Color Option,Amazon Custom,Amazon Custom,"When a buyer selects a font color, I’d also like to show a swatch of the actual color / material as well. Is there a way to do this? The reason I’m asking is that some of my color options have metallic, holographic, and reflective properties that don’t show as I’d like with a solid font color.",https://sellercentral.amazon.com/forums/t/custom-color-option/534173
How to Email Seller Support,Amazon Custom,Amazon Custom,How can I email seller account support?,https://sellercentral.amazon.com/forums/t/how-to-email-seller-support/432012
Custom Products Return,Amazon Custom,Amazon Custom Forum,"We’re selling a custom product on amaozn. Buyers leave their personalized information to us and then we make it on the products. Some of the buyers leave wrong information and that cause a return. All these products can not be sold again,even they return them back in original package. A return accepted means to lose the product and our shipping fee cost. How can we make business like this? If return rejected means negtive feedback or one star product review, or even an A to Z. What should I do?",https://sellercentral.amazon.com/forums/t/custom-products-return/336574
Creating a custom item - error,Amazon Custom,Amazon Custom Forum,"I’m having a hard time finding out the information for this. I am selling personalized Christmas ornaments. I have a professional seller account. Am registered with Amazon Custom. When i attempt to enable custom on an existing product that is within Amazon’s catalog, I get the following error message “Multiple offers are present on this product.” The only information I can find is this blurb in the FAQ: "" Why can’t I apply customization to an ASIN? You cannot enable a product that has more than one seller currently offering it. If there are multiple sellers offering a product and you would like to enable it for customization, you must create a new product listing representing the unique customization features that you offer on the product."" Other than that, there is no information as to my next steps here. Do i need to create a whole new product? Do i need to attach that new product to the existing product that I am attempting to enable customization on? What are the steps in order to get this enabled? I have several hundred of these ornaments that i’m trying to get up. Thanks in advance!",https://sellercentral.amazon.com/forums/t/creating-a-custom-item-error/525711
Shipping to Amazon FBA Wineries,Amazon Custom,Amazon Custom Forum,"Si creamos la etiqueta a través de Amazon (FBA), el proveedor las pega en las cajas, y UPS retira el producto por la fábrica de ellos. ¿No pagaríamos nada? English Translation: If we create the label via Amazon (FBA), the supplier sticks it to the boxes, and UPS removes the product from the factory. Wouldn’t we pay anything?",https://sellercentral.amazon.com/forums/t/shipping-to-amazon-fba-wineries/499066
Amazon EBC custom layouts,Amazon Custom,Amazon Custom Forum,"Im a graphic design new on Amazon Enhanced brand content. Im looking for a more freedom when it comes to designing a layout but it seems there are restrictions. To be specific the Brand logo and the product description at the top are locked but when i search in google a sample of EBC designs, it seems that some of the designs have banner image placed at the top. look at the image below. How can i achieve that kind of design? Help please",https://sellercentral.amazon.com/forums/t/amazon-ebc-custom-layouts/515362
Brand with a trademark require UPC’s,Amazon Custom,Amazon Custom Forum,"Hi helpful people. If I obtain a trademarked brand will my products require a UPC to sell on Amazon Custom? I am selling photo blankets, throw pillows, duvet covers and similar items. Thanks in advance!",https://sellercentral.amazon.com/forums/t/brand-with-a-trademark-require-upcs/515385
Buyers Entering in Inaccurate Personalization,Amazon Custom,Amazon Custom Forum,"Getting to my wits end with dealing with buyers that inaccurately type in their own information and expect seller to take all responsibility for it. Most recent a-z claim, amazon is telling me I must accept return of a $90.00 order even though the buyer entered in the wrong date for her engraving order. Buyer even placed a new order with the same engraving except changed the date. Amazon custom policy clearly says I’m protected from a-z claims and 3rd party sellers do not have to accept returns on accurately created orders but amazon employees don’t seem to abide by the policy. A-z claim says “different from what I ordered”, however, it is exactly the same as buyer ordered, it’s just that buyer entered in the wrong date. Another problem is “voice of the customer” metric. It shows some popular custom products in “very poor” category for things like “defective item” and “wrong item was sent” but this metric is wholly inaccurate because buyers enter in information they did not intend to. Lastly, recently received 2 “used sold as new” complaints from buyers opening return requests stating the product is defective because there is no option for “I entered in incorrect personalization information”. Seems like it’s happening more and more. Does anyone know if amazon has plans to make the site more friendly to custom products sellers? Seems their cookie-cutter approach to sellers isn’t working out. They spent time and money creating “amazon custom” only to wreck sellers by not offering allowances in the automated metric policing system.",https://sellercentral.amazon.com/forums/t/buyers-entering-in-inaccurate-personalization/515593
Custom order cancellation BEFORE shipping,Amazon Custom,Amazon Custom,"Hi! I have a customer of a CUSTOM order that request cancellation before shipment (3 days after order) but the item is almost ready to ship. Cannot be resold obviously as the customization include customer’s personal information (name etc) I found this FAQ on amazon: https://sellercentral.amazon.com/gp/help/help.html?itemID=201817830&ref=ag_201817830_relt_201817850&language=en_IT&languageSwitched=1 5 I understand that is legit to not accept a custom order cancellation after the time frame I set in Policies (set to 24h) but I do not understand if I am allowed to cancel anyway and detract a restocking fee BEFORE shipping. Due to technical issue I see I can partially refund only after shipment, so I’m in doubt that a partial refund in this case is allowed. I do not wish to force shipment if it’s no longer desired (and make customer surely angry) but I do not want to lost the material I have already used neither. Sorry for grammar (not motherlanguage) and thanks for your time, any advice is appreciated.",https://sellercentral.amazon.com/forums/t/custom-order-cancellation-before-shipping/519489
Problems with custom feature,Amazon Custom,Amazon Custom,These days i started to use customization feature. After then every product i uploaded antomatically changes to customerized product. What happened?,https://sellercentral.amazon.com/forums/t/problems-with-custom-feature/523022
How to turn off auto authorized returns for custom products?,Amazon Custom,Amazon Custom Forum,"Apparently I just now noticed sometime about a month ago my account changed to auto authorize returns on CUSTOM products, which you know we are not required to accept/authorize. How do I turn this off?",https://sellercentral.amazon.com/forums/t/how-to-turn-off-auto-authorized-returns-for-custom-products/519396
"Amazon custom , customization detail page chaged?",Amazon Custom,Amazon Custom,What is going on with Amazon that loves to make changes right before the holidays? Now there is a customization information pages shows up with zip file to download? This ruins are automation software and no body told us before with this new update,https://sellercentral.amazon.com/forums/t/amazon-custom-customization-detail-page-chaged/519825
Return Policy,Amazon Custom,Amazon Custom,I have been an Amazon Custom seller for many years. Just in the past few days I started getting auto authorized returns. Now up to 5 of those - personalized non-returnables - buyer error. Anyone having in issue with this? I’m currently battling to get my account fixed (I guess it’s account based). They said all professional sellers must have auto authorization when their OWN policy says Amazon Custom is exempt. So I’m hoping they fix it soon.,https://sellercentral.amazon.com/forums/t/return-policy/517536
Modifying a product for Customization and Variations - which should I do first?,Amazon Custom,Amazon Custom Forum,"Somewhat new to custom and variations, any idea what order I should add these changes to using the online screens, not feeds? TIA Diane",https://sellercentral.amazon.com/forums/t/modifying-a-product-for-customization-and-variations-which-should-i-do-first/517570
Sizing drop down menu for hats,Amazon Custom,Amazon Custom Forum,"Hi all Amazon. Status: Individual Seller. Products: fur felt hats/caps, shipping out of EU/DK. Problem: no/slow response from Amazon. Created a case: asking for drop down menu on April 6. 2019, still no answer +4 weeks later. (Case #5956947851). Question(s): 1. How long response time can be expected? (+4 weeks??) 2. Can I as Individual Seller get a Standard hat size drop down menu? 3. I have already a nice, detailed tabel with sizes, is this only possible for Brand Specific Sizes, meaning if I got an approved Trademark? If you have experience in this or can answer just one of above questions, I would be so happy if you could bring a little hope into this loong awaiting matter… Best regards from Ulrik/Wearcaps.",https://sellercentral.amazon.com/forums/t/sizing-drop-down-menu-for-hats/455675
Amazon Error Allowing Custom Returns,Amazon Custom,Amazon Custom,"I’ve received a few return requests later for custom orders (the usual, customers making typos when they enter data) and Amazon has been auto-authorizing them. They told me there was a technical error, and to be patient, but I’ve been hit with a few return labels and it is getting annoying to keep having it happen during an unusually high period of returns (I usually get 1 every few months). Has anyone else encountered this issue too with these custom order returns being auto-authorized? If so, has anyone been told any additional info from Amazon?",https://sellercentral.amazon.com/forums/t/amazon-error-allowing-custom-returns/516329
How to remove all templates,Amazon Custom,Amazon Custom Forum,I create new catalog pages very often as I sell vintage magazines and sheet music. I do not understand templates and would like to know how to remove them without messing up my listings.,https://sellercentral.amazon.com/forums/t/how-to-remove-all-templates/513251
Image Upload,Amazon Custom,Amazon Custom,"Does anyone know if Amazon has made or is making changes to the Image Upload option in Amazon Custom? We are authorized to sell under Custom and I was looking at adding image upload to some of the products but it does not appear in the Customization Options like before. I then went on Amazon to check a few products, not ours, that customer is able to upload and image for the product the the ‘Upload Image’ button doe nothing when you click on it in Customize Now.",https://sellercentral.amazon.com/forums/t/image-upload/511808
"Do you suspect that a seller of the same product as you is maliciously buying your product, leaved bad reviews and returning it?",Amazon Custom,Amazon Custom,"Do you suspect that a seller of the same product as you is maliciously buying your product, leaved bad reviews and returning it?",https://sellercentral.amazon.com/forums/t/do-you-suspect-that-a-seller-of-the-same-product-as-you-is-maliciously-buying-your-product-leaved-bad-reviews-and-returning-it/510454
New Cutoff Times,Amazon Custom,Amazon Custom Forum,"Has anyone tried getting an exemption on the new 2:00 cutoff time for custom orders? Our pickup from FedEx is at 3:00 pm which does not allow very much time to personalize, pack and ship an order.",https://sellercentral.amazon.com/forums/t/new-cutoff-times/506450
Account freeze,Amazon Custom,Amazon Custom,"When I registered my account, I filled in the wrong company social code, so Amazon passed my registration application after the file was sent, but the account has been frozen. This is Amazon’s email: ""Hello: Since the [Unified Social Credit Code] on the file does not match the number shown on the seller’s platform, we are unable to verify the business documents you provided. Please provide a scanned copy of the file or photo within the next 30 days or modify any relevant information in the “Verification” section of the seller’s platform (https://sellercentral.amazon.com/ 4). You will need to upload all the files you are asked to provide, even those we have verified. If we do not receive the required documents within the next 30 days, you may be prohibited from selling on Amazon.com, Amazon.ca, and Amazon.com.mx. If you have any other questions, please contact the seller support team: (https://sellercentral.amazon.com/cu/contact-us 4). "" And I have already submitted the company’s business license again. I have been frozen for a week. I am worried that my review will not be passed because the information I filled in when I applied for the account is wrong. What should I do? Helpless",https://sellercentral.amazon.com/forums/t/account-freeze/500487
Custom Feature Font URL,Amazon Custom,Amazon Custom,"I’m trying to use the Custom Feature template file, and it’s asking me to provide a URL link for fonts. Ex. ""{content removed} "" How do I go add a .ttf font to my website, get an installable URL link to the font to provide for this template file? Any help regarding this would be greatly appreciated. Moderator Edit (James_Amazon): Removed External URL",https://sellercentral.amazon.com/forums/t/custom-feature-font-url/454942
Customization has stopped on all of our products,Amazon Custom,Amazon Custom,The customization feature has stopped on all of our products as of 9/23. We are unable to sell anything as a result.,https://sellercentral.amazon.com/forums/t/customization-has-stopped-on-all-of-our-products/507625
Customization Surface,Amazon Custom,Amazon Custom Forum,How do I click and drag to draw the position on my product so it lines up to show customers what their picture will like on my product? I have tried everything to no avail.,https://sellercentral.amazon.com/forums/t/customization-surface/487152
Listings re-categorized as automotive,Amazon Custom,Amazon Custom,For some reason 7 of our listings have been re-categorized as automotive (which they are not) and since there is not the required pre-approval for being in the category they have been deactivated. How do I get them switch back to the previous category (safety tape)?,https://sellercentral.amazon.com/forums/t/listings-re-categorized-as-automotive/503399
