Title,Category,Sub-category,Post Text,URL
Stranded Inventory - Account not fully onboarded,Fulfillment By Amazon,General FBA Questions,"Since signing up for FBA and sending my products to Amazon, they’re all been listed as ‘stranded inventory’. The reason for this is that my account is “not fully onboarded”, although I can’t see what else I might have to do to legitimize my account. When I click on this reason, it gives the broader reason:“Your listings are temporarily inactive while they are being prepared for this marketplace.”I really don’t understand what else needs to be done to prepare my listings for the marketplace. They already have the products in the fulfillment centers - and they’re mostly listed as ‘available’. Can anyone help me understand what is going on here, and what I have to do to resolve this so that my products will appear as ‘in stock’?Thanks,James",https://sellercentral.amazon.com/forums/t/stranded-inventory-account-not-fully-onboarded/636241
Remote Fulfillment,Fulfillment By Amazon,Multi-Channel Fulfillment,"Has anyone enrolled for remote fulfillment? We want to remote fufill from Amazon.com for Amazon.co.mx.  How easy was it to do? Do you find that it works out for you, or would it be cheaper just to ship to Amazon Mexico directly?",https://sellercentral.amazon.com/forums/t/remote-fulfillment/574890
Voiding shipping charges for a FBA shipment,Fulfillment By Amazon,Fulfillment By Amazon,I need to void the shipping charges for a shipping plan which I generated today and I do not seem to be able to do so.I do not seem to be able to do so…I tried but the change is not being accepted.,https://sellercentral.amazon.com/forums/t/voiding-shipping-charges-for-a-fba-shipment/645552
Amazon Removing New Inventory,Fulfillment By Amazon,General FBA Questions,"My ASIN currently has a large pending removal order. Because of COVID it’s taking Amazon months to remove it. So, I sent new inventory in for this ASIN.Should I be worried that Amazon might remove the new inventory instead of the old inventory that is pending for removal?Anyone experience any issues sending new inventory when you have a pending removal order?Thank you!",https://sellercentral.amazon.com/forums/t/amazon-removing-new-inventory/645567
Inventory Placement Question,Fulfillment By Amazon,Shipping Inventory to Amazon,"I’m a fairly new Amazon FBA seller and I’m not shipping large quantities at this time.  It seems to be less expensive for me to sign up for Inventory Placement Service and pay the per-item fee versus sending multiple boxes to multiple fulfillment centers.  My question is, if I choose Inventory Placement in my settings, does Amazon automatically charge the per-item fee even if they were going to send it to one fulfillment center in the first place?  I hope my question makes sense.",https://sellercentral.amazon.com/forums/t/inventory-placement-question/643588
Amazon Refusing to Help with Lost Shipments They Received per Tracking Info,Fulfillment By Amazon,Shipping Inventory to Amazon,"Need some help from the community as creating cases with Amazon Seller Support is not getting any anywhere.  They are refusing to help further.  The facts of the situation include 13 boxes of product that I sent in via UPS tracking numbers:1Z81RF4303004291931Z81RF4303023774051Z81RF4303018578171Z81RF4303252744291Z81RF4303003112381Z81RF4303055322401Z81RF4303419814561Z81RF4303167828611Z81RF4303287404731Z81RF4303459382821Z81RF4303153402961Z81RF4303443905081Z81RF430344612910All of these tracking numbers show the boxes were delivered.  Amazon did successfully receive two boxes from this shipment as evidenced in the products hitting inventory in FBA.  Eleven of these boxes are straight up missing now and Amazon is telling me to more or less pound sand.Amazon latest response:When we receive shipments with quantity discrepancies, we automatically initiate an investigation on your behalf for the items in your shipment.This resolution has been provided earlier by another associate, and it will not be different this time.As part of this investigation, we perform a second, physical count to reconfirm the quantity of the items received. Items are marked “Investigation Completed – shipment contents counted and confirmed” when we have completed the investigation.We have completed an additional check in response to your request. We have no record of receiving the units in question.Initial response from Seller Support:I understand that you requested to investigate the missing units on shipment FBA15L98Y0DY.Upon checking, I confirmed that this shipment has claimed missing units that are marked as “Investigation Completed - shipment contents counted and confirmed.”Whenever we have an instance where the number of units expected is different from the number of units received, an investigation is done by our warehouse as part of the receiving process. During the investigation, our fulfillment centers perform a second, physical count to reconfirm the quantity of the items received and they concluded that these units claimed missing were not physically received. Therefore, ineligible for further investigation and reimbursement.Shipment ID FBA15L98Y0DY / Amazon Reference ID 79XAV8UQ.Ship to:Amazon.com Services, Inc.10240 Old Dowd RdCharlotte, NC 28214-8082US ( CLT2)I have submitted a request to UPS to confirm more details about the tracking numbers and provide further documentation.  I have also sent in another request to Seller Support to identify if the boxes were not received or if the boxes were empty as that is another plausible direction.Can anyone else help me out with this scenario?  Any options to escalate or get a real response to check the boxes sitting in the corner in Charlotte, NC?",https://sellercentral.amazon.com/forums/t/amazon-refusing-to-help-with-lost-shipments-they-received-per-tracking-info/597888
Something really annoying that started happening lately,Fulfillment By Amazon,Shipping Inventory to Amazon,"So I sell FBA, and I have accounts with certain manufacturers so I usually always buy many items of a certain line. Many of these items look similar but the item is completely different, whether it’s the size that is different, or whatever you get the point - it’s not the same product.Recently I started shipping products to ONT8 warehouse and it seems like 3 of my listing are impacted by an obvious mistake by an Amazon employee, probably from the receiving department.Check this out this is just an example of one of my shipments that were affected.Screen Shot 2020-06-15 at 11.24.17 AM.png1920×556 51.1 KBSo what you can see is the blue highlighted SKUs are confused as the same product (which the only similarity between the two is the brand’s name)and the red highlighted SKUs that two of them look pretty similar and the third one does not look AT ALL like the other two. They do have the same brand name.Because of this issue I have received that message from my customer:Screen Shot 2020-06-15 at 11.29.36 AM.png759×129 27.5 KBOBVIOUSLY, I will refund ANY customer that encounters an issue like that because it is not their fault.BUT, it isn’t my fault either, and I have asked Amazon multiple times through cases even escalated to the captive team, they all ended up saying “wait until the reconciliation date”but in the mean time I have had to close my listings because this could lead to a negative buyer experience and feedback!I have told in every case I have opened, please fix that issue - this will lead to a negative buyer experience! Yet, the answer was the same.Any suggestions?Can they even fix this issue within their own FBA facilities? Or will I have to create a removal order and wait 3 months until all products arrive to our warehouse and then re-ship them again?",https://sellercentral.amazon.com/forums/t/something-really-annoying-that-started-happening-lately/645472
Box Labels,Fulfillment By Amazon,Fulfillment By Amazon,"Hi there, i just printed my box labels and there are some chineese letters on them as well. Is this ok or there is something wrong with my computer aplications?",https://sellercentral.amazon.com/forums/t/box-labels/645432
Amazon is never accountable for anything!,Fulfillment By Amazon,Shipping Inventory to Amazon,"For the last couple of months, probably since about the time when the plague hit, Amazon has been screwing up all my inbound shipments. I mean every single one! They lose products, they claim I sent products in multiple boxes when I didn’t, they switch stuff around separate different shipments and so on and so forth. When confronted, they claim that it is my fault. I personally and meticulously label, pack, triple check and photograph everything I send into FBA! When I tell them that they are lying and that I have proof, I am threatened with “disciplinary action” because of “my terrible shipping performance”.  There’s absolutely ZERO I can do as the seller to fight this abuse!",https://sellercentral.amazon.com/forums/t/amazon-is-never-accountable-for-anything/640451
"Several Delayed Inbound Shipments to LAX9 FBA Facility (FONTANA, CA)",Fulfillment By Amazon,Fulfillment By Amazon,"Is anybody else experiencing delayed shipments to and/or receiving at LAX9 FBA Facility in Fontana, CA? We have several small parcel FBA shipments via UPS Ground that are experiencing lengthy delays when shipping to LAX9. Our 3PL is in Los Angeles, CA so ~50 miles away from LAX9 and the shipments have all been en route for 5-9+ business days with no active ETA listed within the UPS tracking experience. UPS Customer Support appears to be stumped whenever I reach out and FBA Seller Support is well…no comment. Anyone have any insight or similar experience here?",https://sellercentral.amazon.com/forums/t/several-delayed-inbound-shipments-to-lax9-fba-facility-fontana-ca/645390
FBA closes receiving for Black Friday and Holidays?,Fulfillment By Amazon,Fulfillment By Amazon,"Does anybody know what the maximum date is to send items to Amazon for FBA before Black Friday, Cyber Monday and Holidays?",https://sellercentral.amazon.com/forums/t/fba-closes-receiving-for-black-friday-and-holidays/645380
FBA Shiipping Fees?,Fulfillment By Amazon,Fulfillment By Amazon,Is there a way find out the Shipping fees on a product that I want to ship thru FBA?,https://sellercentral.amazon.com/forums/t/fba-shiipping-fees/645379
Having problem completing the workflow form,Fulfillment By Amazon,Shipping Inventory to Amazon,"Please I desperately need someone to work me through the process of preparing and shipping my inventory to Amazon. . I have tried contacting amazon support by phone. They said they are not helping people by phone due to covid-19. It’s hard for me to finish filling out the workflow form because they are asking me to “provide the dimensions of the product in the manufacturer’s original packaging”. I don’t know what this means, and I don’t think I have this information because my products are clothing that didn’t come packaged because I bought them directly from the store racks. Someone please call me and help me through this. Thank you very much. I am looking forward to someone’s call.RhoModerator Edit (James_Amazon): Personal Information Removed",https://sellercentral.amazon.com/forums/t/having-problem-completing-the-workflow-form/644671
How do I know which address to give my supplier to ship to Amazon,Fulfillment By Amazon,General FBA Questions,What Amazon address do I give to supplier to ship my product to.,https://sellercentral.amazon.com/forums/t/how-do-i-know-which-address-to-give-my-supplier-to-ship-to-amazon/645343
FBA Warehouses HOLDING ALL MY INVENTORY,Fulfillment By Amazon,General FBA Questions,"Greetings,I have 300 units at FBA warehouses for a high volume ASIN, which have been actively selling. Last week, all those units were designated as FC processing and have been unavailable since Wednesday. Now the rest of the variations are FC processing as well and are not available for sale. I have never experienced this in the last 5 years of selling on Amazon. How long does the FC processing take and why are they processing all my units NOW, when they have been at fulfillment centers for the last month?I have contacted Amazon support and received no further information. I need this inventory to be available! Please help!Thank you in advanceB",https://sellercentral.amazon.com/forums/t/fba-warehouses-holding-all-my-inventory/645287
Amazon Freight LTL - Refusing to schedule pickup,Fulfillment By Amazon,Shipping Inventory to Amazon,"We have had two multi pallet shipments that have been sitting on our dock since April 20 waiting to be collected. The bill/collect notification from Amazon partnered LTL was April 20.We have submitted tickets with no response from transportation regarding the missed pickup and rescheduling. Has anyone else been experience delays like this and if so what steps have you taken?Thanks,James",https://sellercentral.amazon.com/forums/t/amazon-freight-ltl-refusing-to-schedule-pickup/618292
Damaged Products,Fulfillment By Amazon,FBA Orders and Customer Service,My concern is about the packing and shipping of the orders. As we are doing FBA for the product and we are having bulk messages from our buyers that they are getting broken and leaked bottles. How can I let amazon understand my issue? And is there any insurance policy for the broken bottles in the shipping process?One more this they are using simple padded bags but we need them to use a box for how can I convince them for box packaging.,https://sellercentral.amazon.com/forums/t/damaged-products/645283
Shipment without an appointment combined with another?,Fulfillment By Amazon,Fulfillment By Amazon,"Not sure how to phrase that title so I’ll explain here.  I had 2 shipments I was working on. Shipment 1 was a full truckload that required an appointment.  Just noticed that a pallet from Shipment 2 was accidentally put on the truck to go with Shipment 1.  Here are some details:-Appointment was set for Shipment 1.-Rogue pallet is labeled for Shipment 2, box labels/pallet labels/etc.Is it fine or will I run into problems?",https://sellercentral.amazon.com/forums/t/shipment-without-an-appointment-combined-with-another/645284
"Need a FBA Box ID label + Manufacturer Barcode on Single Unit, Single-SKU boxes",Fulfillment By Amazon,General FBA Questions,"If a box is being sent to a customer carrying a single unit of a single SKU, and should be shipped as it arrives at Amazon warehouses, do you need to affix both the FBA Box ID and the Manufacturer barcode on the outside of the box?I am wondering if it’s necessary to attach a Manufacturer barcode as well, or if its redundant.",https://sellercentral.amazon.com/forums/t/need-a-fba-box-id-label-manufacturer-barcode-on-single-unit-single-sku-boxes/603544
Not sure what to do…please help,Fulfillment By Amazon,General FBA Questions,"So I had created a shipping plan for a product with 3 skus totaling 3000 units (375 cartons) from February. All cartons and product was labelled using this shipping plan labels. Due to COVID, sales fell drastically and inventory storage limit went from unlimited to 1000 CBF.Sales has picked up and I want to send in the 3000 units. However, the 3000 units is 1550 CBF.My plan was to remove 1 of 3 skus which would change my total units to 1864 with would equal to 963 CBF.However, Amazon only allows 5% change in a shipping plan, thus I can’t change my shipping plan to go under 1000 CBF.My only option seems to be to relabel the cartons with a new shipping plan. However, I wanted to see if there is anything I am overlooking that would be an easier solution.",https://sellercentral.amazon.com/forums/t/not-sure-what-to-do-please-help/644318
Clarification on Case Packed,Fulfillment By Amazon,Shipping Inventory to Amazon,"Hello,We are about to send our first shipment into Amazon & are confused about whether they can go as case packed or not.Our products comply with case packed as follows:All products in box will have a matching SKU and condition and will have been previously packaged together by the manufacturer.All boxes of the same product will contain equal quantities of that product in each box.We are within the case pack limit of 150 units per case.However, each of these cartons (40 in total) will have shipping labels applied.  Does this then mean that they cannot be identified as case packed because of the shipping label barcodes on the outside of each carton?Cheers,Ree",https://sellercentral.amazon.com/forums/t/clarification-on-case-packed/645119
Amazon shipping to warehouse issues,Fulfillment By Amazon,Fulfillment By Amazon,"May I ask you can use yellow tape all winding boxes, so that packaging, Amazon will not reject it? Figure 1微信图片_20200615092216.jpg1920×941 79.7 KB",https://sellercentral.amazon.com/forums/t/amazon-shipping-to-warehouse-issues/645076
Receiving products,Fulfillment By Amazon,Fulfillment By Amazon,Why do i have so many products that are saying delivered an then 2 to 3 weeks later products still not showing up in my inventory and its always the once that sells the best??,https://sellercentral.amazon.com/forums/t/receiving-products/644691
Metrics of sipping boxes,Fulfillment By Amazon,General FBA Questions,"Hi All,We have one question. Can someone tell us what is the weight of standart and large shipping boxes with which Amazon delivered customers orders. We tried to find sizes but can’t find this info. The most important part is what is the exact weight which Amazon add to final measures of the product and for which seller pays FBA fees.Thank you in advance",https://sellercentral.amazon.com/forums/t/metrics-of-sipping-boxes/644187
FBA shipment,Fulfillment By Amazon,Fulfillment By Amazon,Can we start sending in video games for FBA?,https://sellercentral.amazon.com/forums/t/fba-shipment/644962
FBA sometimes shows to have received only 1 item per SKU,Fulfillment By Amazon,General FBA Questions,"We are Canadian seller and usually ship our inventory to the warehouse in Brampton, ON. They made a lot of small mistakes, like constantly showing wrong numbers for received products - not always too less, sometimes even 1 or 2 too many. But the problems were never major.Now we had to ship inventory twice to a warehouse in Bolton, ON, and they made the same mistake both times: For several SKU they didn’t add 10 or 20 to the inventory as we shipped, they only added 1 single piece. Now we need to wait same weeks before these shipments become eligible for a dispute.Anyone with similar experience here?We tried to have all parts lose in the box, and Amazon mixed them up and put parts in wrong bins in the warehouse. Then we put all parts of the same kind in big plastic bags, and added a BIG label to these bags saying “This bag contains XX items”. Both ways caused trouble… No idea how to fix that.",https://sellercentral.amazon.com/forums/t/fba-sometimes-shows-to-have-received-only-1-item-per-sku/641462
Fullfillment by Amazon Settings,Fulfillment By Amazon,Fulfillment By Amazon,"Hello everyone, i want the option to allow amazon to buy my products and sell globally but i could not find it under the FBA settings. Any idea why?",https://sellercentral.amazon.com/forums/t/fullfillment-by-amazon-settings/644576
Expiration date to Topicals products,Fulfillment By Amazon,Shipping Inventory to Amazon,"Hello forum, I have purchase a large quantity of liquid soap for hand and body for wholesale from a reputable distributor. When I was preparing my shipment it required an expiration date; however, I don’t have expiration date on these bottles. I really need help understanding the process. Yes I am a new seller. How should I proceed? Thanks!",https://sellercentral.amazon.com/forums/t/expiration-date-to-topicals-products/644123
"Help needed more than 40000usd product lost, product in transit for almost a year and still cannot sell",Fulfillment By Amazon,Fulfillment By Amazon,"We have asin: B072L7KKYQ , we have 59 units showing in transit for almost a year(not available per the what said 14 days). We opened tons of cases and contacted different teams, but we have no solution to it.Here is what we see from amazon for the asin:This product is a dangerous good.This product is classified as dangerous goods but you can still sell through FBA.Future shipments must be directed to a hazmat-enabled fulfillment center.We are shipping your current inventory to a fulfillment center that is equipped to handle dangerous goods.Inventory will be in Reserved status while in transit, which can take up to 14 days.Amazon should give the product back to us1- either allow us to remove it2- transit it to a  fulfillment center that is equipped to handle dangerous goods.3- we are not sure why this is considered as dangerous good.Can someone from amazon give us a solution or someone can give us some suggestion about what to do?",https://sellercentral.amazon.com/forums/t/help-needed-more-than-40000usd-product-lost-product-in-transit-for-almost-a-year-and-still-cannot-sell/537373
Meltable Items List,Fulfillment By Amazon,Shipping Inventory to Amazon,"I recently got an email from Amazon regarding Meltable Items.In their help file is a linkTo download a list of meltable ASINs, visit this link: Meltable ASINs (Excel) 22.Does anyone know if this list is a complete list of what will be disposed of if they are not removed?  In other words, if my product is not on this list is it safe to say Amazon does not consider it meltable?My product is Collagen Peptides BTW",https://sellercentral.amazon.com/forums/t/meltable-items-list/603508
Incorrect listing leads to incorrect FBA fees,Fulfillment By Amazon,Fulfillment By Amazon,"Hello,I’m a new seller on amazon and I accidentally input incorrect weight/dimension values for my product when walking through creating the inventory shipment order.  Upon completion, I noticed exorbitant amazon FBA fees (which are incorrect).  I tried editing my item in manage inventory but for some reason I’m not allowed to save any changes.  In addition I’ve reached out to seller central for help but due to high volume of questions, seller support has said they can’t assist anyone with 0 sales at the moment.  Any feedback would be greatly appreciated.  Thank you.",https://sellercentral.amazon.com/forums/t/incorrect-listing-leads-to-incorrect-fba-fees/644639
Newbie trying to sell t shirts,Fulfillment By Amazon,Shipping Inventory to Amazon,"I make t shirts on custom ink and I want to sell them FBA. Can i send these directly to amazon from custom ink and amazon preps everything? Or must I receive them first, package, label and then ship to amazon? Also, I am not on Merch as i have yet to be approved. Thanks.",https://sellercentral.amazon.com/forums/t/newbie-trying-to-sell-t-shirts/639515
Amazon will not removed feedback on FBA service related comment,Fulfillment By Amazon,FBA Orders and Customer Service,"I have received seller feedback regarding an FBA order that was never received, and Amazon support says that it does not violate their policy so they will not remove. I have read several other accounts from other sellers regarding the lack of removal or action by Amazon on these, but this one seems very cut and dry to me. What am I missing? This is the feedback in question:From Buyer:going on 20 days for a _______ I still haven’t receivedHere is the very brief conversation that I had with support, trying to resolve this:Order xxxxxxxx was fulfilled by Amazon, and the feedback is solely relating to the non-receipt of the order. According to Amazon policy, Amazon will remove feedback when it meets the following criteria: “The entire feedback comment is regarding fulfillment or customer service for an order fulfilled by Amazon.”I ask politely to have this feedback removed as it violates the above policy. Thank you.Amazon responded:Hello from Amazon Selling Partner Support,We’re unable to remove this feedback because the package was shipped late and the buyer left feedback after the latest Estimated Delivery Date.Since buyer feedback is a direct reflection of their Amazon shopping experience, we can only remove feedback for these reasons:Contains obscene language.Contains seller-specific, personally identifiable information.Entire feedback comment is a product review.Entire feedback comment is about fulfillment or customer service for an order fulfilled by Amazon.You may ask buyers to remove their feedback, but do not pressure them to do so. The buyer can remove the feedback if they choose to.To contact the buyer, go to the Orders tab in your Seller Account and select Manage Orders. Search for the buyer’s order, then click the buyer’s name under “Contact Buyer.”If the buyer does not remove the feedback, you can post a response to it. To do this, go to the Reports heading in your Seller Account and click “Manage your Ratings and Feedback.” From there you can look up the feedback and respond.I responded one more time reiterating that this was an FBA order and in their reply it states why the feedback should be removed, to which Amazon responded:We have reviewed our prior decision and determined that this feedback does not violate ourpolicies. This is our final decision regarding the feedback for this order.The best way to deal with negative feedback is to resolve any transaction issues with thebuyer. The buyer could then remove the feedback if they feel it is appropriate.Under Feedback Manager, you can also post a public reply under a specific feedback. Followthe steps outlined to post a public reply to specific feedback:Go to the Feedback Manager (feedback-manager/index.html).In the Recent Feedback table, next to the Order ID, select Post a public reply underthe Actions column.Please consider this matter resolved after addressing the buyer’s concern or posting apublic reply.Thank you for selling with AmazonWhat am I missing here? Why is this not a black and white decision by Amazon to remove the feedback that is about non receipt of an FBA order?",https://sellercentral.amazon.com/forums/t/amazon-will-not-removed-feedback-on-fba-service-related-comment/634150
